2024-06-23T05:10:33.13612659Z,{"lat":11.1064009058848,"lon":106.61306248343315}
2024-06-23T05:10:34.149335701Z,{"lat":11.1064009058848,"lon":106.61306248343315}
2024-06-23T05:10:35.159882034Z,{"lat":11.1064009058848,"lon":106.61306248343315}
2024-06-23T05:10:36.143868266Z,{"lat":11.1064009058848,"lon":106.61306248343315}
2024-06-23T05:10:37.159435257Z,{"lat":11.1064009058848,"lon":106.61306248343315}
2024-06-23T05:10:38.2759123Z,{"lat":11.1064009058848,"lon":106.61306248343315}
2024-06-23T05:10:39.279046057Z,{"lat":11.106387004651078,"lon":106.6130226214984}
2024-06-23T05:10:40.310116418Z,{"lat":11.106387004651078,"lon":106.6130226214984}
2024-06-23T05:10:41.23209011Z,{"lat":11.106387004651078,"lon":106.6130226214984}
2024-06-23T05:10:42.26432545Z,{"lat":11.106387004651078,"lon":106.6130226214984}
2024-06-23T05:10:43.260876415Z,{"lat":11.106387004651078,"lon":106.6130226214984}
2024-06-23T05:10:44.250808859Z,{"lat":11.106387004651078,"lon":106.6130226214984}
2024-06-23T05:10:45.256791301Z,{"lat":11.106358779815698,"lon":106.61301627853743}
2024-06-23T05:10:46.244896041Z,{"lat":11.106441014724744,"lon":106.61302550804369}
2024-06-23T05:10:47.245359954Z,{"lat":11.106443826417921,"lon":106.61300402684006}
2024-06-23T05:10:48.238678826Z,{"lat":11.106451948647075,"lon":106.61300184278768}
2024-06-23T05:10:49.237849575Z,{"lat":11.10645652999836,"lon":106.61299800935096}
2024-06-23T05:10:50.234420035Z,{"lat":11.106455762324968,"lon":106.61299289873672}
2024-06-23T05:10:51.237703623Z,{"lat":11.106468310018046,"lon":106.61299791793182}
2024-06-23T05:10:52.242352162Z,{"lat":11.106466126259463,"lon":106.61300010007703}
2024-06-23T05:10:53.238322008Z,{"lat":11.10646931407732,"lon":106.6130059978624}
2024-06-23T05:10:54.245255792Z,{"lat":11.106469642404011,"lon":106.61300914682218}
2024-06-23T05:10:55.247514044Z,{"lat":11.106468382745936,"lon":106.61301231536822}
2024-06-23T05:10:56.243549108Z,{"lat":11.106469400782627,"lon":106.61301321894666}
2024-06-23T05:10:57.264729581Z,{"lat":11.106469400782435,"lon":106.61301321894666}
2024-06-23T05:10:58.252840808Z,{"lat":11.106473951303336,"lon":106.61301198444876}
2024-06-23T05:10:59.267099834Z,{"lat":11.106475504099071,"lon":106.6130105794218}
2024-06-23T05:11:00.261277579Z,{"lat":11.106475504099071,"lon":106.6130105794218}
2024-06-23T05:11:01.240833313Z,{"lat":11.106475504099071,"lon":106.6130105794218}
2024-06-23T05:11:02.251884085Z,{"lat":11.106475504099071,"lon":106.6130105794218}
